paper_id,title,year,architecture,organs,dataset_quality,methodology_quality,evaluation_quality,total_score,quality_rating,main_contribution
10.1002_mp.12480,Deep learning of the sectional appearances of 3D CT images for anatomical structure segmentation based on an FCN voting method,2017,2D FCN (VGG16-based) + 3D multi-view majority voting (3D-2D-3D),"Right lung, Left lung, Heart, Aorta, Esophagus, Liver, Gallbladder, Stomach and duodenum (2nd position/region), Stomach and duodenum lumen, Contents inside stomach and duodenum, Spleen, Right kidney, Left kidney, Inferior vena cava, Portal vein / splenic vein / superior mesenteric vein region, Pancreas, Bladder, Prostate, Uterus",8,6,9,23,Medium,Introduces a practical multi-organ CT segmentation pipeline that uses a single 2D FCN applied to orthogonal slices and fuses predictions into a 3D segmentation via voxel-wise majority voting.
10.1002_mp.13300,AnatomyNet: Deep learning for fast and fully automated whole-volume segmentation of head and neck anatomy,2019,AnatomyNet (modified 3D U-Net with 3D SE-residual blocks),"brain stem, optic chiasm, mandible, optic nerve (left), optic nerve (right), parotid gland (left), parotid gland (right), submandibular gland (left), submandibular gland (right)",8,7,9,24,High,"Proposes AnatomyNet, an end-to-end whole-volume 3D CNN for fast multi-OAR head-and-neck CT segmentation that improves MICCAI 2015 benchmark Dice while running in ~0.12 s/volume."
10.1002_mp.13438,U-Net based deep learning bladder segmentation in CT urography,2019,Modified 2D U-Net and modified 3D U-Net (U-DL),bladder,8,7,7,22,Medium,"Introduces and validates a U-Net-based bladder segmentation approach for CT urography that removes the need for a user-defined bounding box and level-set refinement, improving accuracy over prior DCNN-LS and classical level-set baselines on an independent test set."
10.1002_mp.13950,Automatic multi-organ segmentation in dual-energy CT (DECT) with dedicated 3D fully convolutional DECT networks,2020,"Dedicated 3D U-Net-based FCNs for DECT fusion (LC-net, MC-net, MI-net, Late fusion) with optional residual blocks","right lung, left lung, liver, spleen, right kidney, left kidney",6,8,8,20,Medium,"Introduces and systematically evaluates four dedicated 3D CNN fusion strategies to exploit dual-energy CT information for automatic multi-organ segmentation, showing consistent gains over single-energy baselines."
10.1002_mp.14386,CT-based multi-organ segmentation using a 3D self-attention U-net network for pancreatic radiotherapy,2020,3D Deep Attention U-Net (U-Net + attention gates + deep supervision),"large bowel, small bowel, duodenum, left kidney, right kidney, liver, spinal cord, stomach",8,8,9,25,High,"Introduces and validates a 3D attention-gated, deeply supervised U-Net with a compound Dice+cross-entropy loss for fast, simultaneous segmentation of eight abdominal OARs on pancreatic radiotherapy CT simulation scans."
10.1002_mp.14422,Complete Abdomen and Pelvis Segmentation using U-Net Variant Architecture,,3D U-Net (variant with residual context modules),"liver, kidneys (left/right), spleen, pancreas, adrenal glands (left/right), renal arteries (left/right), renal veins (left/right), aorta, inferior vena cava, bladder, uterus, prostate, stomach, small bowel, large bowel/colon, gallbladder, diaphragm, spinal column, intervertebral discs (T12/S1 range; multiple disc labels), bone, muscle, subcutaneous adipose tissue (SAT), visceral adipose tissue (VAT), other soft tissue/connective tissue & small vessels/ureters (lumped label), background (model output; not reported in results)",7,6,9,22,Medium,"Introduces and evaluates an end-to-end 3D U-Net variant that performs dense whole abdomen/pelvis CT segmentation into 33 structures, with performance contextualized against human interobserver variability and prior multi-organ methods."
10.1002_mp.15507,"General and custom deep learning autosegmentation models for organs in head and neck, abdomen, and male pelvis",2022,Modified ResUnet3D (3D U-Net with residual blocks),"Male pelvis: Bladder, Prostate, Rectum, SeminalVes, PenileBulb, Sigmoid, Femure_L, Femure_R, Pelvis_L, Pelvis_R, Patient external, Head & neck: Brain, Brainstem, Bone_Mandible, Esophagus, Eye_L, Eye_R, InnerEar_L, InnerEar_R, Larynx, Lens_L, Lens_R, OpticNerve_L, OpticNerve_R, Parotid_L, Parotid_R, Glnd_Submand_L, Glnd_Submand_R, SpinalCord, Patient external, Abdomen: A_Aorta, Bowel_Large, Bowel_Small, Duodenum, Kidney_L, Kidney_R, Liver, Pancreas, SpinalCord, Spleen, Stomach, Patient external",8,6,9,23,Medium,"Develops and clinically evaluates multi-site 3D deep-learning CT autosegmentation models (head & neck, abdomen, male pelvis) with organ-specific strategies (ASR, PSE) and compares general multi-institutional vs custom single-institution training."
10.1007_978-3-030-00937-3_49,3D U-JAPA-Net: Mixture of Convolutional Networks for Abdominal Multi-organ CT Segmentation,2018,3D U-JAPA-Net (3D U-Net + probabilistic atlas + mixture of experts with transfer learning),"liver, spleen, right kidney, left kidney, pancreas, gallbladder, aorta, inferior vena cava",3,5,10,17,Medium,"Introduces 3D U-JAPA-Net, a PA-assisted, transfer-learned mixture-of-expert 3D U-Nets that improves abdominal multi-organ CT segmentation over standard 2D/3D U-Net baselines on an in-house dataset."
10.1007_s00330-020-07608-9,Automated segmentation of kidney and renal mass and automated detection of renal mass in CT urography using 3D U-Net-based deep convolutional neural network,2021,3D U-Net (cascaded for kidney; single multi-label for renal mass),"Kidney, Renal tumor, Renal cyst",8,2,9,21,Medium,"Introduces a fully automated CTU corticomedullary-phase pipeline using cascaded 3D U-Nets for kidney localization/segmentation and a multi-label 3D U-Net for renal tumor/cyst segmentation, with lesion detection derived from segmentation via maximum-VOI thresholding."
10.1016_j.compmedimag.2018.03.001,An application of cascaded 3D fully convolutional networks for medical image segmentation,2018,Cascaded 3D U-Net (3D FCN),"artery, vein, liver, spleen, stomach, gallbladder, pancreas, lungs (transfer learning evaluation), kidneys (transfer learning evaluation), additional 18-class structures in direct comparison dataset (e.g., aorta, esophagus, heart, inferior vena cava, portal vein, prostate, bladder, etc.)",9,9,9,27,High,"Introduces and validates a two-stage cascaded 3D U-Net (3D FCN) coarse-to-fine framework that uses candidate regions to substantially improve multi-organ (including vessels) CT segmentation, with strong external generalization."
10.1016_j.imu.2020.100357,MSS U-Net: 3D segmentation of kidneys and tumors from CT images with a multi-scale supervised U-Net,2020,MSS U-Net (multi-scale supervised 3D U-Net; nnU-Net-inspired),"Kidney, Kidney tumor",8,9,8,25,High,"Introduces MSS U-Net, a deep-supervised 3D U-Net with exponential logarithmic Dice loss and connected-component postprocessing for end-to-end kidney and kidney-tumor segmentation from full CT volumes."
10.1038_s41598-019-40584-9,Dual-energy CT for automatic organs-at-risk segmentation in brain-tumor patients using a multi-atlas and deep-learning approach,2019,Two-step 3D U-Net (cascade: bounding-box detection + per-organ segmentation),"brainstem, eyes, eye lenses, optic nerves, parotid glands",5,8,7,18,Medium,"Evaluates how DECT-derived pseudo-monoenergetic CT energy affects automatic OAR segmentation in brain-tumor radiotherapy, comparing an in-house multi-atlas pipeline to a two-step 3D U-Net approach with both quantitative metrics and expert clinical scoring."
10.1038_s41598-020-63285-0,Abdominal multi-organ auto-segmentation using 3D-patch-based deep convolutional neural network,2020,3D patch-based U-Net,"liver, stomach, duodenum, right kidney, left kidney",8,6,9,23,Medium,"A clinically oriented abdominal multi-organ CT auto-segmentation pipeline using a 3D patch-based U-Net with graph-cut refinement, demonstrating improved accuracy over atlas-based segmentation and substantial contouring time reduction in radiotherapy planning."
10.1038_s41598-022-07848-3,Automated pancreas segmentation and volumetry using deep neural network on computed tomography,2022,"3D U-Net variants (basic, dense, residual, residual-dense)",pancreas,9,6,8,23,Medium,"Demonstrates 3D U-Net-based pancreas segmentation and volumetry on a large single-center CT cohort (n=1006) with external validation on TCIA/NIH (n=82), identifying a residual-dense 3D U-Net variant as best among tested architectures."
10.1088_1361-6560_aaf11c,Fully automated organ segmentation in male pelvic CT images,2018,Two-stage pipeline: 5-channel 2D U-Net (localization) + 3D U-Net with ResNeXt encoder blocks (segmentation),"prostate, bladder, rectum, left femoral head, right femoral head",7,7,10,23,Medium,Introduces a fully automated two-stage deep learning pipeline (2D localization + 3D ResNeXt-augmented U-Net) for multi-organ male pelvic CT segmentation for radiotherapy planning.
10.1088_1361-6560_ab6f99,Interactive 3D U-net for the segmentation of the pancreas in computed tomography scans,2020,Interactive 3D U-Net (iUnet),pancreas,9,7,9,24,High,Proposes an interactive 3D U-Net (iUnet) that performs rapid image-specific fine-tuning from sparse user scribbles to achieve near-expert pancreas CT segmentation in substantially less time than full manual delineation.
10.1109_ACCESS.2020.3024277,Automatic Segmentation Using a Hybrid Dense Network Integrated With an 3D-Atrous Spatial Pyramid Pooling Module for Computed Tomography (CT) Imaging,2020,3D-ASPPDN (3D DenseNet encoder-decoder with 3D-ASPP bottleneck),"heart, aorta, trachea, esophagus",6,5,6,17,Medium,"Proposes 3D-ASPPDN, a 3D DenseNet encoder-decoder augmented with a 3D atrous spatial pyramid pooling bottleneck to improve multi-organ thoracic CT segmentation on SegTHOR 2019."
10.1109_cvidliccea56201.2022.9823971,Research on Liver Segmentation of CT Image Based on Deep Active Contour Model,2022,3DAC (Two-branch 3D V-Net + 3D Chan–Vese Active Contour Model),liver,5,6,5,16,Medium,"Introduces a two-stage 3D deep active contour framework (3DAC) that uses a multi-task 3D V-Net to predict both liver probability and signed distance initialization/parameter maps, followed by 3D Chan–Vese level-set refinement for smoother and more accurate liver boundaries."
10.1109_ICIEAM48468.2020.9111950,Hybrid 3D-ResNet Deep Learning Model for Automatic Segmentation of Thoracic Organs at Risk in CT Images,2020,Hybrid 3D-ResNet encoder-decoder (ResNet-like 3D U-Net) with 3D ASPP and Project & Excite blocks,"esophagus, heart, trachea, aorta",4,3,5,14,Low,Proposes a hybrid 3D ResNet-U-Net-style model augmented with 3D ASPP and Project & Excite recalibration blocks for automatic multi-organ thoracic OAR segmentation on SegTHOR CT.
10.1109_SPS.2019.8882073,Segmentation of Organs at Risk in Chest Cavity Using 3D Deep Neural Network,2019,3D U-Net-like with ResNet-50 backbone (two-stage coarse-to-fine),"esophagus, heart, trachea, aorta",6,6,7,19,Medium,"A two-stage multi-resolution 3D U-Net-like (ResNet-50 backbone) framework for segmenting four thoracic organs-at-risk from CT, using coarse localization to define organ-specific VOIs for fine segmentation."
10.1109_TMI.2018.2806309,Automatic Multi-organ Segmentation on Abdominal CT with Dense V-networks,2018,DenseVNet (Dense V-network FCN),"spleen, left kidney, gallbladder, esophagus, liver, stomach, pancreas, duodenum",8,10,10,28,High,"Introduces DenseVNet, a memory-efficient 3D dense-connected V-network with batch-wise spatial dropout for registration-free multi-organ abdominal CT segmentation, outperforming VNet, VoxResNet, and DEEDS+JLF on 90 subjects in cross-validation."
10.1109_WRCSARA57040.2022.9903976,Two-Stage Multi-Organ Automatic Segmentation with Low GPU Memory Occupancy,2022,Tiny-CED Net (3D U-Net-inspired) in a two-stage coarse-to-fine pipeline,"liver, spleen, pancreas, right kidney, left kidney, stomach, gallbladder, esophagus, aorta, inferior vena cava, right adrenal gland, left adrenal gland, duodenum",4,6,7,17,Medium,Introduces a two-stage coarse-to-fine 3D CNN framework (Tiny-CED Net) for 13-organ abdominal CT segmentation that achieves competitive accuracy while keeping GPU memory usage under 2GB.
10.1186_s12880-025-02106-0,Deep learning-based volumetry of the future liver remnants and prediction of candidates for major hepatectomy,2026,3D U-Net (five separate models),"Whole liver, Couinaud liver segments (8 segments), Hepatic veins, Portal veins, Hepatic lesions (tumors)",8,2,7,19,Medium,"Develops and externally validates a deep learning-based system (DL-FLRVS) that automates multi-structure liver segmentation from contrast-enhanced CT to compute FLR/FLR% and support candidate categorization for major hepatectomy, with direct comparison to hepatic VCAR and human doctors."
10.1186_s13014-022-01985-9,Dosimetric impact of deep learning-based CT auto-segmentation on radiation therapy treatment planning for prostate cancer,2022,3D U-Net (V-Net-based),"prostate, bladder, rectum",7,7,9,21,Medium,"Demonstrates that a V-Net-based 3D U-Net can achieve state-of-the-art pelvic organ segmentation on prostate CT and, crucially, quantifies the downstream dosimetric impact of using auto-segmentations for VMAT plan optimization."
10.1186_s41747-024-00507-4,Segmentation-based quantitative measurements in renal CT imaging using deep learning,2024,3D U-Net (two separate identical models: CECT and NCCT),"Right kidney, Left kidney",10,8,9,26,High,Introduces and validates two modality-specific 3D U-Net models that segment kidney parenchyma on CECT and NCCT and automatically compute clinically relevant renal volume and principal axes with human-level agreement.
10.3389_fonc.2018.00215,Deep Learning Renal Segmentation for Fully Automated Radiation Dose Estimation in Unsealed Source Therapy,2018,3D U-Net-like CNN (modified from Pazhitnykh et al.),"right kidney, left kidney",9,8,7,23,Medium,Introduces and clinically integrates a 3D CNN kidney segmentation pipeline on low-dose non-contrast CT to enable fully automated renal dosimetry from post-therapy quantitative SPECT/CT.
10.48550_arXiv.2309.09730,Scribble-based 3D Multiple Abdominal Organ Segmentation via Triple-branch Multi-dilated Network with Pixel- and Class-wise Consistency,2023,TDNet (3D U-Net backbone with triple-branch multi-dilated decoders),"liver, spleen, left kidney, right kidney, stomach, gallbladder, pancreas",7,8,9,24,High,"Introduces TDNet, a scribble-supervised 3D multi-organ CT segmentation framework that combines multi-dilated triple decoders with pixel-wise uncertainty-weighted pseudo-label consistency and class-wise affinity consistency."
10.48550_arXiv.2406.13674,Rethinking Abdominal Organ Segmentation (RAOS) in the clinical scenario: A robustness evaluation benchmark with challenging cases,2024,"Benchmark study (nnU-Net, 3D UX-Net, REPUXNET, nnFormer, Swin UNETR, TransBTS, UNETR)","liver, spleen, left kidney, right kidney, stomach, gallbladder, esophagus, pancreas, duodenum, colon, intestine, left adrenal, right adrenal, rectum, bladder, left head of femur, right head of femur, prostate, seminal vesicles",10,4,9,23,Medium,"Introduces RAOS, a large-scale abdominal CT multi-organ dataset and benchmark explicitly designed to evaluate segmentation robustness on clinically challenging post-surgery and organ-missing cases, including quantification of organ hallucination."
arXiv_1704.06382,Hierarchical 3D fully convolutional networks for multi-organ segmentation,2017,Hierarchical 3D U-Net (3D FCN) coarse-to-fine,"artery, portal vein, liver, spleen, stomach, gallbladder, pancreas",9,7,8,24,High,"Introduces a two-stage hierarchical coarse-to-fine 3D U-Net pipeline that uses automatically generated candidate regions to reduce class imbalance and improve multi-organ abdominal CT segmentation, with external validation on an independent 150-case dataset."
arXiv_1809.04430,Deep learning to achieve clinically applicable segmentation of head and neck anatomy for radiotherapy,2021,Residual 3D U-Net,"Brain, Brainstem, Cochlea-Lt, Cochlea-Rt, Lacrimal-Lt, Lacrimal-Rt, Lens-Lt, Lens-Rt, Lung-Lt, Lung-Rt, Mandible, Optic-Nerve-Lt, Optic-Nerve-Rt, Orbit-Lt, Orbit-Rt, Parotid-Lt, Parotid-Rt, Spinal-Canal, Spinal-Cord, Submandibular-Lt, Submandibular-Rt",10,8,8,27,High,Presents a residual 3D U-Net for multi-organ head-and-neck OAR segmentation on planning CT that achieves radiographer-level performance and introduces the clinically motivated surface DSC metric with organ-specific tolerances.
arXiv_1908.00360,A Method of Rapid Quantification of Patient-Specific Organ Dose for CT Using Coupled Deep-Learning based Multi-Organ Segmentation and GPU-accelerated Monte Carlo Dose Computing,2019,"3D U-Net (residual, multi-scale outputs) + separate fine-segmentation networks for small/elongated organs","right lung, left lung, heart, spinal cord, esophagus, spleen, liver, left kidney, stomach, gall bladder, pancreas, duodenum",7,6,8,21,Medium,Demonstrates a fast end-to-end workflow that couples 3D deep-learning multi-organ CT segmentation with GPU-accelerated Monte Carlo dose computation to enable near real-time patient-specific CT organ dosimetry.
http___arxiv.org_abs_1707.08037v1,Automatic Liver Segmentation Using an Adversarial Image-to-Image Network,2017,DI2IN (Deep Image-to-Image Network) + DI2IN-AN (adversarial training with discriminator),liver,6,5,5,17,Medium,"Introduces a 3D adversarially-trained image-to-image segmentation framework (DI2IN-AN) for fast, accurate liver segmentation from CT without post-processing at inference."
http___arxiv.org_abs_1710.05379v1,Towards Automatic Abdominal Multi-Organ Segmentation in Dual Energy CT Using Cascaded 3D Fully Convolutional Network,2017,Cascaded 3D U-Net (two-stage 3D FCN),"liver, spleen, right kidney, left kidney",6,5,6,18,Medium,Introduces a cascaded coarse-to-fine 3D U-Net approach with SECT-to-DECT fine-tuning for automatic abdominal multi-organ segmentation on clinical dual-energy CT.
http___arxiv.org_abs_1801.05912v1,On the influence of Dice loss function in multi-class organ segmentation of abdominal CT using 3D fully convolutional networks,2018,"3D U-Net (3D fully convolutional network, U-Net-type)","artery, portal vein, liver, spleen, stomach, gallbladder, pancreas, background",7,5,5,17,Medium,"Demonstrates that class-frequency weighting in multi-class Dice loss can substantially help or harm 3D multi-organ CT segmentation depending on the initial learning rate, highlighting a strong coupling between loss weighting and optimization settings."
http___arxiv.org_abs_1809.00960v2,Organ at Risk Segmentation in Head and Neck CT Images Using a Two-Stage Segmentation Framework Based on 3D U-Net,2017,"Two-stage 3D U-Net (LocNet + SegNet), per-organ models","Mandible, Parotid left, Parotid right, Brainstem, Submandibular left, Submandibular right, Optic nerve left, Optic nerve right, Chiasm",6,6,9,21,Medium,"Introduces a per-organ two-stage 3D U-Net pipeline that first localizes each head-and-neck OAR with a learned bounding box (LocNet) and then segments within that ROI (SegNet), improving accuracy—especially boundary accuracy (95HD)—under GPU memory constraints."
http___arxiv.org_abs_1809.02268v1,Computation of Total Kidney Volume from CT images in Autosomal Dominant Polycystic Kidney Disease using Multi-Task 3D Convolutional Neural Networks,2018,Multi-task 3D FCN (3D U-Net-like),"Kidneys (ADPKD; left+right), Liver (auxiliary task)",6,7,6,19,Medium,Introduces a multi-task 3D U-Net-like FCN with a shared encoder (kidney ADPKD + auxiliary liver segmentation) and demonstrates clinically relevant TKV estimation accuracy from CT (mean absolute percentage error 3.86%).
http___arxiv.org_abs_1811.11226v1,"CT organ segmentation using GPU data augmentation, unsupervised labels and IOU loss",2018,3D GoogLeNet/Inception-style Fully Convolutional Network (FCN),"lung, liver, bone (skeleton), kidney, bladder, other/background",8,8,7,23,Medium,"Demonstrates that a relatively simple 3D FCN can achieve competitive multi-organ CT segmentation when paired with fast GPU-based 3D augmentation, weakly generated labels for hard-to-annotate organs, and an IOU-based loss tailored to class imbalance."
http___arxiv.org_abs_1909.06684v1,3D Kidneys and Kidney Tumor Semantic Segmentation using Boundary-Aware Networks,2019,Boundary-Aware 3D encoder-decoder CNN (U-Net-like) with attention-gated boundary stream,"kidney (kidney+tumor foreground in one output channel), kidney tumor",7,6,4,18,Medium,Introduces a 3D boundary-aware encoder-decoder segmentation network with an attention-gated boundary stream and edge-aware losses for kidney and kidney-tumor segmentation in CT.
http___arxiv.org_abs_1909.07480v2,Z-Net: an Anisotropic 3D DCNN for Medical CT Volume Segmentation,2020,"Z-Net framework integrated into 3D U-Net and V-Net (ZU-Net, ZV-Net; v1 and v2 variants)","aorta, liver, lung",6,6,4,17,Medium,"Introduces Z-Net, a framework that decomposes 3D convolutions into anisotropic 2D (XY) + 1D (Z) operations and pairs it with full-FOV XY patching (512x512x8) to improve CT organ segmentation while reducing parameters and training time."
http___arxiv.org_abs_2001.09647v1,Basic Ensembles of Vanilla-Style Deep Learning Models Improve Liver Segmentation From CT Images,2020,"Heterogeneous ensemble of 3D CNN segmenters (3D U-Net, DeepMedic, V-Net, Dense V-Networks) with non-trainable fusion (majority vote/average/product/min-max)",liver,6,6,8,20,Medium,"Shows that a simple, non-trainable heterogeneous ensemble of off-the-shelf 3D CNN segmenters improves liver segmentation from CT over individual models on two public datasets, with statistical significance across multiple metrics."
http___arxiv.org_abs_2003.07923v1,3D medical image segmentation with labeled and unlabeled data using autoencoders at the example of liver segmentation in CT images,2020,3D F-Net + Winner-Take-All Convolutional Autoencoder (WTA-CAE) with Self-supervised Transfer Learning (S-TL) and Self-supervised Multi-task Learning (S-MTL),liver,9,7,5,21,Medium,Demonstrates that self-supervised feature learning from unlabeled 3D CT volumes via a sparse WTA convolutional autoencoder can modestly improve 3D liver segmentation when integrated through transfer learning or multi-task learning with an F-Net backbone.
http___arxiv.org_abs_2009.09571v4,Semi-supervised Semantic Segmentation of Prostate and Organs-at-Risk on 3D Pelvic CT Images,2020,3D Residual U-Net with auxiliary heads + adversarial discriminator; PGGAN for 3D CT synthesis,"prostate, bladder, rectum, left femur, right femur, background",8,6,8,22,Medium,Introduces a semi-supervised adversarial framework for 3D multi-organ pelvic CT segmentation that leverages unlabeled (real or GAN-synthesized) CT volumes via discriminator-guided pseudo-labeling to reduce annotation needs and improve performance.
http___arxiv.org_abs_2105.02290v1,R2U3D: Recurrent Residual 3D U-Net for Lung Segmentation,2021,R2U3D (Recurrent Residual 3D U-Net); variant with DRRCU (Dynamic-Recurrent Residual Convolutional Unit),lungs,9,6,7,22,Medium,"Proposes R2U3D, a recurrent-residual 3D U-Net (with a dynamic recurrent SE-enhanced variant) that achieves high lung segmentation accuracy on LUNA16 and external VESSEL12 CT datasets, including strong performance when trained with only 100 scans and no augmentation."
http___arxiv.org_abs_2105.14314v3,Automatic CT Segmentation from Bounding Box Annotations Using Convolutional Neural Networks,2021,BA-Unet (3D U-Net variant with bottleneck blocks and attention),"liver, spleen, kidney",9,7,8,23,Medium,A weakly supervised 3D CT organ segmentation pipeline that trains a 3D U-Net variant using only bounding-box annotations by generating and iteratively refining pseudo-masks.
http___arxiv.org_abs_2108.06669v1,CPNet: Cycle Prototype Network for Weakly-supervised 3D Renal Compartments Segmentation on CT Images,2021,CPNet (Cycle Prototype Network) with FDFE backbone,"kidney medulla, kidney cortex",5,5,7,18,Medium,"Introduces CPNet, a weakly supervised 3D renal cortex/medulla segmentation framework that combines cycle-consistent prototype learning with Bayes-corrected pseudo-labeling from cross-period CT priors and a detail-preserving decoder."
http___arxiv.org_abs_2109.12634v1,A Novel Hybrid Convolutional Neural Network for Accurate Organ Segmentation in 3D Head and Neck CT Images,2021,OrganNet2.5D (U-Net-like encoder-decoder hybrid 2D/3D CNN),"brain stem, eyes (left), eyes (right), lenses (left), lenses (right), optic nerves (left), optic nerves (right), optic chiasma, temporal lobes (left), temporal lobes (right), pituitary, parotid glands (left), parotid glands (right), inner ears (left), inner ears (right), middle ears (left), middle ears (right), tongue, temporomandibular joints (left), temporomandibular joints (right), spinal cord, mandible (left), mandible (right), submandibular glands (left), submandibular glands (right)",9,5,9,23,Medium,"Introduces OrganNet2.5D, a hybrid 2D/3D U-Net-like model with HDC-based receptive-field expansion to improve multi-organ (including small OAR) segmentation in anisotropic head-and-neck CT volumes."
http___arxiv.org_abs_2203.01934v1,Quality or Quantity: Toward a Unified Approach for Multi-organ Segmentation in Body CT,2022,3D U-Net (selected after comparison with 3D DenseVNet),"thyroid, lung-left, lung-right, heart, liver, spleen, kidney-right, kidney-left, gallbladder, ribs-right, ribs-left, bladder, spine, clavicles, sternum, scapulas, stomach, pancreas, pelvis, femur, arm, body",8,4,5,18,Medium,"Demonstrates, for 22-organ 3D CT segmentation, that adding more cases via pseudo-labeling (CT-ORG) can improve performance for organs with true labels across datasets but can degrade performance for organs relying on pseudo-labels, highlighting the tradeoff between label quality and data quantity."
http___arxiv.org_abs_2208.13271v1,Efficient Liver Segmentation with 3D CNN Using Computed Tomography Scans,2022,DeepMedic (modified dual-pathway input),liver,8,3,5,18,Medium,An efficient liver segmentation pipeline for abdominal CT that combines liver-focused HU preprocessing and denoising with a dual-pathway 3D DeepMedic model (with CRF refinement) to achieve ~0.93 Dice across three public datasets.
http___arxiv.org_abs_2210.04285v1,Improved Abdominal Multi-Organ Segmentation via 3D Boundary-Constrained Deep Neural Networks,2022,3D U-Net / 3D U-Net++ / 3D Attention U-Net with boundary-constrained multi-task learning (TSOL and TSD variants),"liver, duodenum, stomach, esophagus, spleen, gallbladder, left kidney, pancreas",8,8,7,23,Medium,Introduces a boundary-constrained 3D multi-task learning framework that jointly learns organ masks and organ boundaries to improve abdominal multi-organ CT segmentation across multiple 3D encoder–decoder baselines.
http___arxiv.org_abs_2302.00162v4,"Continual Segment: Towards a Single, Unified and Non-forgetting Continual Segmentation Model of 143 Whole-body Organs in CT Scans",2023,nnU-Net (3D full-resolution) based continual multi-decoder framework,"143 total structures across datasets: 103 TotalSegmentator structures (26 major organs, 59 bones, 10 muscles, 8 vessels; face removed), 31 chest structures (with overlaps: esophagus, trachea, SVC, pulmonary artery), 13 head & neck OARs, and esophagus in advanced cancer domain (EsoOrgan).",8,7,6,21,Medium,"Introduces an architecture-based continual 3D CT multi-organ segmentation framework that scales to 143 organs by freezing a general encoder, adding/pruning task-specific decoders, and merging outputs with body-part and anomaly awareness to avoid catastrophic forgetting."
http___arxiv.org_abs_2302.13172v1,Deep Learning-based Multi-Organ CT Segmentation with Adversarial Data Augmentation,2023,nnU-Net; Token-based Transformer V-Net (TT-Vnet) with AFA-MI augmentation,"BCTV: left kidney, BCTV: right kidney, BCTV: gallbladder, BCTV: liver, BCTV: stomach, BCTV: aorta, BCTV: inferior vena cava, Institutional: heart, Institutional: left kidney, Institutional: right kidney, Institutional: liver, Institutional: left lung, Institutional: right lung, Institutional: spinal cord, Institutional: stomach",5,5,8,18,Medium,"Introduces AFA-MI, an adversarial feature-space data augmentation method for 3D multi-organ CT segmentation that improves accuracy and substantially increases robustness to noise when integrated into nnU-Net and TT-Vnet."
http___arxiv.org_abs_2309.13872v1,Attention and Pooling based Sigmoid Colon Segmentation in 3D CT images,2023,PyP3DUcsSENet (modified 3D U-Net) + ensembles of top-3 models,sigmoid colon,7,4,6,17,Medium,Proposes a modified 3D U-Net with pyramid pooling and csSE attention for sigmoid colon segmentation in 3D CT and shows that ensembling top models substantially improves DSC on MSD colon CT.
